,title,description,publishedAt,channelId,videoId,channelTitle,liveBroadcastContent
37,Stage variables - Amazon HTTP API tutorial p16,"Welcome to part 16 of the new tutorial series on Amazon HTTP API. In this video, we are going to learn about stage variables and how we can configure & use ...",2021-07-24T13:01:03Z,UCwDlyuX3Fkg5WNBufLnH6dw,tgvw10C8w7c,Srce Cde,none
38,AWS lambda with OpenCV via Layers,"Welcome to the tutorial on AWS lambda with OpenCV. Here, we will deploy the OpenCV library via Layers and use the package in a lambda function. --- Support ...",2019-03-14T16:11:43Z,UCwDlyuX3Fkg5WNBufLnH6dw,FQBT8vVRkAg,Srce Cde,none
39,How to handle automatic retries in AWS Lambda when there is exception,"Welcome to the video tutorial on How to handle default retry behavior in the AWS Lambda function. In this tutorial, I have explained and demoed how to stop ...",2019-12-01T04:49:17Z,UCwDlyuX3Fkg5WNBufLnH6dw,ySVz-9EOKbw,Srce Cde,none
40,IAM authorization within HTTP API - Amazon HTTP API p11,"Welcome to part 11 of the new tutorial series on Amazon HTTP API. In this video, we will cover how to enable IAM authentication within HTTP API gateway which ...",2021-07-04T15:15:13Z,UCwDlyuX3Fkg5WNBufLnH6dw,GTu8k5agHJE,Srce Cde,none
41,Choose access control method | How to choose authorization method | REST API | Amazon API Gateway,"Welcome to this video. In this video, I have covered how to choose an authorization method for API Gateway. Buy Me A Coffee: ...",2021-08-09T13:00:11Z,UCwDlyuX3Fkg5WNBufLnH6dw,9IWVTVM86FE,Srce Cde,none
42,How to SSH into EC2 instance via Lambda function &amp; execute remote commands,Welcome to this video tutorial on how to login or SSH into EC2 instance using lambda function followed by executing remote commands on an EC2 instance.,2020-03-29T06:15:20Z,UCwDlyuX3Fkg5WNBufLnH6dw,jFAipm0NsVA,Srce Cde,none
43,Handling lambda task timeout exception - Amazon API Gateway p37,"Welcome to part 37 of the tutorial series on Amazon API Gateway. In this tutorial, I have covered how to handle task time-out exceptions within API Gateway with ...",2021-03-27T07:03:52Z,UCwDlyuX3Fkg5WNBufLnH6dw,uC2IQwlMJQU,Srce Cde,none
44,Handling lambda task timeout exception - Amazon API Gateway p37,"Welcome to part 37 of the tutorial series on Amazon API Gateway. In this tutorial, I have covered how to handle task time-out exceptions within API Gateway with ...",2021-03-27T07:03:52Z,UCwDlyuX3Fkg5WNBufLnH6dw,uC2IQwlMJQU,Srce Cde,none
45,Fn::Sub in CloudFormation explained with an example - AWS CloudFormation p3,"Welcome to part 3 of this tutorial series on AWS CloudFormation. In this tutorial, I have covered the intrinsic function Fn::Sub. --- Support my work: --- Patreon: ...",2021-01-17T13:55:31Z,UCwDlyuX3Fkg5WNBufLnH6dw,UrY1B9bf6p0,Srce Cde,none
46,Training recognizer - Comprehend Custom Entity Recognition p.4,"Welcome to part 4 of the tutorial series on Comprehend custom entity recognition. In this tutorial, we are going to train the recognizer. Text version: ...",2019-04-25T18:13:52Z,UCwDlyuX3Fkg5WNBufLnH6dw,qHWJZKdWfBg,Srce Cde,none
47,Fn::GetAtt in CloudFormation explained with an example - AWS CloudFormation p3.3,"Welcome to part 3.3 of this tutorial series on AWS CloudFormation. In this tutorial, I have covered the intrinsic function Fn::GetAtt. --- Support my work: --- Patreon: ...",2021-01-28T13:45:11Z,UCwDlyuX3Fkg5WNBufLnH6dw,8Ee0_zMvIkY,Srce Cde,none
48,Intrinsic functions overview | Condition - AWS CloudFormation p2.3,"Welcome to part 2.3 of this tutorial series on AWS CloudFormation. In this tutorial, we will cover an overview of condition intrinsic functions. Join this channel ...",2020-10-25T14:27:49Z,UCwDlyuX3Fkg5WNBufLnH6dw,YblSv4WuV2g,Srce Cde,none
49,Create flask app &amp; configure nginx - Deploy Flask application on EC2 p.4,"Welcome to Deploy flask application on EC2 instance tutorial series part 4. In this tutorial, we are going to create a dummy flask application and configure Nginx ...",2019-01-21T17:04:55Z,UCwDlyuX3Fkg5WNBufLnH6dw,tW6jtOOGVJI,Srce Cde,none
